"ĐÃ SẮP XẾP THEO QUẬN, HUYỆN		",,Mn muốn recommend quán ở quận nào thì add thêm dòng ở quận đó nha,Filter ,,"MỌI NGƯỜI LỌC THEO QUẬN, HUYỆN TÌM CHO DỄ NHA!",,
Loại quán,Món - Quán,ĐỊA CHỈ - CN,Quận,Giá tiền,Review,FEEDBACK MN,ỤA MN CÓ CHỈNH ĐƯỢC SHEET KHÔNG DẠ? TUI ĐÃ BẬT PUBLIC EDIT RỒI Á
Cafe,Cà phê trứng Eggyolk,220 Lê Thánh Tông ,1,< 50k,,,
Món Nhật,Fujiro - món Nhật,"8B1 Thái Văn Lung, Bến Nghé, Q1 ",1,>100k,"heo, gà chiên ở đây siêu juicy, rcm mng thử các set chiên giòn, cá nhân mình k thích mấy phần có sốt hoặc trứng ở trên lắm",Hẻm này là cứ điểm đồ ăn Nhật nên mún ăn đồ Nhật (do ng Nhật nâu thì có thể cân nhắc vào đây) tuy nhiên tùy quán nên giá sẽ giao động khác nhau lắm,
Món Việt,Quán ăn Huế O Xuân,22 Nguyễn Hữu Cầu P. Tân Định Q.1 HCM,1,>30k,,,
Ăn Vặt,Bánh xèo ,46A Đinh Công Tráng ,1,~ 60k,,,
Ăn Vặt,Chè Cô Giang,85 Cô Giang,1,15 - 25k,,,
Ăn Vặt,Chị bán bánh tráng kế bên ĐH Hoa Sen,8 Nguyễn Văn Tráng,1,25 - 40k,Hình như chủ nhật ko thấy bán?,,
Món Việt,Hủ tiếu mì/ sủi cảo kiểu Hoa,"255 Nguyễn Công Trứ, P. Nguyễn Thái Bình",1,35-45k,Bán sau 18h,,
Món Việt,Hủ tiếu xá xíu A Phú,"236 Hòa Hảo, Phương 2, quận 10 ",1,35-50,"Hủ tiếu khô xá xíu ở đây siêu ngon luôn ạ, sạch sẽ, ngon đẹp mắt, chủ dễ thương. Nhưng chỉ bán từ 6-11h sáng.",,
Món Thái,Mama Thái,"150/8B Đ. Nguyễn Trãi, Phường Bến Thành",1,40 - 100k,món thái ,,
Cafe,Room44,"Tầng 2, Chung cư 35 Nguyễn Văn Tráng",1,40 - 150k,croffle ngon ,,
Cafe,Haru Cafe,"Lầu 2, 14 Tôn Thất Đạm",1,40 - 150k,bánh mì nướng phô mai bơ tỏi gất ngon,,
Món Hàn, bigbro korean hotdog,"85 Hồ Tùng Mậu, Bến Nghé, quận 1",1,>30k,"ngon nhưng chỗ ngồi hạn chế, hợp takeaway",,
Món Việt,Kim Ký Mì Gia,"255 Nguyễn Công Trứ, Phường Nguyễn Thái Bình,",1,40k,,,
Ăn Vặt,Pacey Cupcakes,"8 Trần Khánh Dư, Phường Tân Định, Quận 1",1,45 - 100k,,,
Món Việt,Quán Ăn Út Hương,"TK18/1 Đ. Nguyễn Cảnh Chân, Cầu Kho, Quận 1",1,50 - 100k,"nhiều món (recomend bò né, mì xào giòn) ngoài ra còn cơm chiên các loại, mỳ ý...",,
Món Việt,Hủ tiếu nam vang Thành Đạt (CN gốc),34 Cô Bắc,1,50 - 70k,Chỗ này là chi nhánh gốc,,
Món Hàn,Xù Food - món Hàn,"135/30 Trần Hưng Đạo, Phường Cầu Ông Lãnh, Q1",1,Nhiều giá,,,
Ăn Vặt,Bánh tráng nướng 2 chị em ,"Kế bên Phúc Long Ngô Đức Kế (cô già già tròn tròn nhen, cô ngồi kế quán sinh tố)",1,Nhiều giá,,,
Món Âu,Pizza Belga,9A Phan Kế Bính HCM,1,,Đồ ăn hơi mặn tí xíu nhưng mà ngon :))),,
,Vee Ayy,"345/84 Trần Hưng Đạo, quận 1",1,>100,"Mỳ ý, soup tomyum siu ngon",,
Cafe,1966 space n coffee,"41/3 Calmette, quận 1",1,50-80,"matcha uji siêu ngon, đi tối thì chill hơn, không gian vừa phải mà ấm cúng lắm",,
Cafe,Auvery Cafe,"chung cư, 54 Ký Con, Phường Nguyễn Thái Bình, Quận 1",1,40-75,"Salted caramel matcha latte, lemon cake, croffles",,
Món Chay,Cơm chay Nhà,"19/14 Nguyễn Thị Minh Khai, quận 1",1,50,"mô hình buffet chay có 50k thui (mà cũng lâu rồi mình ch ghé không biét có tăng k), ăn xong thì mình tự dọn bát đĩa lại một góc á",,
Cafe,ONE7 Cold Brew Coffee,"150/7/3 Nguyễn Trãi, P. Bến Thành, Q.1, TP.HCM.",1,35-75k,"Có cold brew, moka pot, matcha, trà thái ngon, máy quạt, chỗ ngồi hơi hạn chế, gửi xe free",,
Món Việt,Quán cơm Mê Kong,"136 Đ. Sương Nguyệt Ánh, Phường Phạm Ngũ Lão, Quận 1",1,>70k,"Giá hơi cao, tiệm hơi nóng nhưng mà cơm ngon dã man luôn áaa (highly rcm cơm chả cá nha, chả cá ở đây đúng đỉnh)",,
Món Việt,Nem cua bể NTMK,"15E Đ. Nguyễn Thị Minh Khai, Bến Nghé, Quận 1",1,100-200k,"Quán này thì lên TV với mấy kênh như CNN đồ quá chừng nên ngon khỏi phải bàn, nma rcm đi ăn thì phải book bàn nha vì kh book là chờ gần 1 tiếng á (tui ăn từ hồi mừi mấy tủi tới giờ đc 5 năm gì ròy)",,
Cafe,Hôm nay cafe,"158/17 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",1,,,,
Món Việt,Phá Lấu Lì,"1A Đ. Sương Nguyệt Ánh, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Vietnam",1,,,,
Món Nhật,NEKOYA UDON - Tiệm ăn con Mèo,"38/10/22G Đ. Trần Khắc Chân, Phường Tân Định, Quận 1",1,~100k,"đến ăn vì bé chó mèo ở quán, không ngờ dính luôn vì đồ ăn ngon, khẩu phần khá to, chủ tiệm dễ thương",,
Món Nhật,KABUKI おにぎり,"97 Đ. Lê Thánh Tôn, Bến Nghé",1,>110k/người,Udon ngon cực,,
Nước,Một bát trà,Gần cầu Ba Son q1 ,1,40-70k,ngon vcl. Đậm vị trà. Yên tĩnh lém,,
Món Việt,Bánh mì chả cá Bùi Thị Xuân,"152h Bùi Thị Xuân, P.Phạm Ngũ Lão, Q1",1,>25k,"Ngon, mùi chả cá siêu thơm luôn, dạng chả cá sợi sợi á ",,
Món Việt,  há cảo tương đen đặc siu ngon,57-59 Đề Thám p.Cô Giang q1 ( tui đưa địa chỉ kế bên quán nha tại ko nhớ đc quán ),1,,,,
Ăn Vặt,Khúc bạch Thanh,"57 Trần Nguyên Đán, Phường 1, Quận 1, Hồ Chí Minh (dưới chân cầu Hoàng Hoa Thám)",1,35-45k,"rcm tứ quý cẩm hoặc tứ quý vải, khúc bạch thơm phô mai siêu ngon",,
,Ăn sáng văn phòng (bán đổi món theo ngày),"sau lưng tòa nhà VCB 5 Công trường Mê Linh, Bến Nghé, Q1",1,40k,"Cô chú bán đổi món, mọi người nên thử bún bò (T6) và miến gà (T4+7) siu siu ngon, dân VP gần đó ăn nhìu",,
Bar,[Bar] House of Merlin,"178/1 Pasteur, Bến Nghé, Quận 1",1,,"Món cá hồi siêu recommend nha, ăn chung với cái bánh chiên giòn gì dưới đế á. Pizza cũng rất vừa ăn nhưng lúc đó mình ấn tượng mạnh cá hồi hơn Nhân viên rất có tâm, thiếu điều muốn đội mình lên đầu. T3, 5, cn có live jazz. Lên gg để xem quán đẹp cỡ nào",,
Cafe,Tò Mò Cafe,"Chung cư 42, Tôn Thất Thiệp, phường Bến Nghé Quận 1",1,40-80k,"Trà, cafe ngon. Rcm trà vải Hibiscus, trà lài xí muội, trà sen kem béo, matcha",,
